date,compliance_cnt,finance_cnt,market_cnt,policy_cnt,trade_cnt,compliance_alen,finance_alen,market_alen,policy_alen,trade_alen,policy_has,market_has,finance_has,trade_has,compliance_has,policy_roll3,policy_roll7,policy_roll14,policy_lag1,policy_lag3,policy_lag5,market_roll3,market_roll7,market_roll14,market_lag1,market_lag3,market_lag5,finance_roll3,finance_roll7,finance_roll14,finance_lag1,finance_lag3,finance_lag5,trade_roll3,trade_roll7,trade_roll14,trade_lag1,trade_lag3,trade_lag5,compliance_roll3,compliance_roll7,compliance_roll14,compliance_lag1,compliance_lag3,compliance_lag5,policy_gap,market_gap,finance_gap,trade_gap,compliance_gap,policy_sent,market_sent,finance_sent,trade_sent,compliance_sent,compliance_window,global_cnt,global_has,quality_score,importance_score,global_shock_flag,doc_mask,close,open,high,low,volume,amount,log_return,volatility_20d,volatility_60d,range_pct,return_lag1,return_lag3,return_lag5,volume_lag1,mkt_hbea_close,mkt_bea_close,mkt_shea_close,mkt_szea_close,mkt_cea_close,hs300_ret,eua_ret,blt_oil_ret,dq_oil_ret,coal_ret,cpi,m2,target_H1,target_H5,realized_vol_1d,realized_vol_5d,realized_vol_10d,target_H7,policy_dir,policy_uncertainty,policy_pos_cnt,policy_neg_cnt,market_dir,market_uncertainty,market_pos_cnt,market_neg_cnt,finance_dir,finance_uncertainty,finance_pos_cnt,finance_neg_cnt,trade_dir,trade_uncertainty,trade_pos_cnt,trade_neg_cnt,compliance_dir,compliance_uncertainty,compliance_pos_cnt,compliance_neg_cnt,qwen_compliance_policy_tightening,qwen_market_policy_tightening,qwen_policy_policy_tightening,qwen_compliance_compliance_pressure,qwen_market_compliance_pressure,qwen_policy_compliance_pressure,qwen_compliance_supply_constraint,qwen_market_supply_constraint,qwen_policy_supply_constraint,qwen_compliance_demand_growth,qwen_market_demand_growth,qwen_policy_demand_growth,qwen_compliance_market_activity,qwen_market_market_activity,qwen_policy_market_activity,qwen_compliance_carbon_direction,qwen_market_carbon_direction,qwen_policy_carbon_direction,qwen_compliance_confidence,qwen_market_confidence,qwen_policy_confidence,qwen_dir_mean,qwen_conf_mean,qwen_signal_strength,qwen_disagreement,qwen_available,qwen_policy_available,qwen_market_available,qwen_compliance_available,target_H1_old,target_H5_old,target_H7_old,x_dummy
2013-12-19,0,0,0,5,4,0.0,0.0,0.0,940.0,667.0,1,0,0,1,0,5.0,5.0,5.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,4.0,4.0,4.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,2449.0,2449.0,0.0,2449.0,0.008350804,0.0,0.0,0.2013565,0.0,0,9,1,22.0,0.0,0,1,60.17,60.0,61.0,60.0,120029.0,7221740.0,,,,1.6619577862722286,,,,,,55.0,30.0,74.5,,0.0040237975503768,0.0122450509601001,0.0066420908398551,0.0081584961301566,0.0,,,-0.0028293270101597,0.0772133806633768,,,,0.0772133806633768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,-0.0028293270101597,,0.080042705,0.0
2013-12-20,6,27,17,122,81,640.8333333333334,866.5416666666666,724.0384615384615,754.616121031746,646.0685185185185,1,1,1,1,1,63.5,63.5,63.5,5,0,0,8.5,8.5,8.5,0,0,0,13.5,13.5,13.5,0,0,0,42.5,42.5,42.5,4,0,0,3.0,3.0,3.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.008350804,0.0,0.0,0.09872905,0.0,0,253,1,549.0,0.0,0,1,60.0,60.17,60.0,60.0,100.0,6000.0,-0.0028293270101597,,,0.0,,,,120029.0,,,30.0,75.0,,-0.0132532452477425,-0.0371943700080488,0.0132440169391804,0.0096449673591817,0.0,,,0.0,0.0953101798043249,,,,0.0487901641694321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0154426761326753,0.048790164,0.0
2014-03-11,0,1,2,6,6,0.0,1064.0,542.0,858.0,737.6111111111112,1,1,1,1,0,44.33,44.33,44.33,122,0,0,6.33,6.33,6.33,17,0,0,9.33,9.33,9.33,27,0,0,30.33,30.33,30.33,81,0,0,2.0,2.0,2.0,6,0,0,0.0,0.0,0.0,0.0,1.0,0.10394391,0.074558794,0.19368891,0.14658585,0.0,0,15,1,34.0,0.0,0,1,60.0,60.0,60.0,60.0,5242.0,314520.0,0.0,,,0.0,-0.0028293270101597,,,100.0,,54.56,39.7,93.0,,-0.0269059981562982,-0.0102116131701963,0.0030993215699394,0.000458778739065,0.0,0.5,13.3,0.048790164169432,0.0800427076735365,,,,0.0800427076735366,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,-1.0,1.0,1.0,2.0,2.0,0.3333333333333333,1.6666666666666667,5.0,1.1547005383792517,1.0,1.0,1.0,1.0,0.048790164169432,0.0190620359608649,0.031252544,0.0
2014-03-14,0,0,0,3,1,0.0,0.0,0.0,729.25,567.0,1,0,0,1,0,43.67,34.0,34.0,6,5,0,6.33,4.75,4.75,2,0,0,9.33,7.0,7.0,1,0,0,29.33,23.0,23.0,6,4,0,2.0,1.5,1.5,0,0,0,0.0,1.0,1.0,0.0,2.0,0.10394391,0.074558794,0.19368891,0.04526573,0.0,0,4,1,10.0,0.0,0,1,63.0,60.0,63.0,60.0,200.0,12600.0,0.048790164169432,,,4.761904761904762,0.0,,,5242.0,,54.0,40.0,83.0,,0.0048585583889273,-0.0220134675371788,0.011637860116501,-0.0055483774664678,-0.0016012813669738,0.5,13.3,0.0312525435041045,6.938893903907227e-17,,,,-0.0487901641694317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0312525435041045,0.0160085415347073,-0.080042705,0.0
2014-03-17,0,0,4,4,5,0.0,0.0,1472.75,555.75,559.0,1,1,0,1,0,4.33,28.0,28.0,3,122,0,2.0,4.6,4.6,0,17,0,0.33,5.6,5.6,0,27,0,4.0,19.4,19.4,1,81,0,0.0,1.2,1.2,0,6,0,0.0,0.0,2.0,0.0,3.0,0.050676472,0.10391188,0.20644204,0.1014586,0.0,0,13,1,29.0,0.0,0,1,65.0,63.0,65.0,63.0,100.0,6500.0,0.0312525435041045,,,3.076923076923077,0.048790164169432,-0.0028293270101597,,200.0,,56.17,40.0,83.0,,0.0013714433715006,-0.0691064368723441,-0.0182679279721849,0.0053639266681951,-0.0016038495819745,0.5,13.3,0.0,6.245004513516506e-17,,,,5.551115123125783e-17,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,1.5,3.0,0.0,1.0,0.0,1.0,1.0,0.0,1.2490009027033013e-17,5.5511150000000004e-17,0.0
2014-03-18,0,4,3,0,1,0.0,695.0,902.6666666666666,0.0,909.0,0,1,1,1,0,2.33,23.33,23.33,4,6,5,2.33,4.33,4.33,4,2,0,1.33,5.33,5.33,0,1,0,2.33,16.33,16.33,5,6,4,0.0,1.0,1.0,0,0,0,1.0,0.0,0.0,0.0,4.0,0.045090243,0.09570727,0.18470098,0.34148905,0.0,0,8,1,12.0,0.0,0,1,65.0,65.0,65.0,65.0,100.0,6500.0,0.0,0.369983788448843,,0.0,0.0312525435041045,0.0,,100.0,,56.48,39.0,83.0,,0.0062310360926431,-0.020654779030746,0.0027520776563382,-0.0143058640438565,-0.0016064260482736,0.5,13.3,0.0152674721307883,-0.0800427076735363,,0.369983788448843,,-0.0800427076735363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.5,1.5,3.0,0.7071067811865476,1.0,0.0,1.0,1.0,0.0152674721307883,1.2490009027033013e-17,-0.09531018,0.0
2014-03-19,0,0,0,0,1,0.0,0.0,0.0,0.0,937.0,0,0,0,1,0,1.33,20.0,20.0,0,3,122,2.33,3.71,3.71,3,0,17,1.33,4.57,4.57,4,0,27,2.33,14.14,14.14,1,1,81,0.0,0.86,0.86,0,0,6,2.0,1.0,1.0,0.0,5.0,0.045090243,0.09570727,0.18470098,0.026578177,0.0,0,1,1,2.0,0.0,0,1,66.0,65.0,66.0,65.0,10.0,660.0,0.0152674721307883,0.3309255085703461,,1.5151515151515151,0.0,0.048790164169432,-0.0028293270101597,100.0,,56.31,39.8,83.0,,-0.006939278658263,0.040891557318099,-0.0078969060777955,-0.0029985029962565,-0.0016090108057006,0.5,13.3,-0.0152674721307884,-0.0152674721307883,,0.3342602985846469,,-0.0706175672139532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,-0.0152674721307884,-0.0160085415347072,-0.055350095,0.0
2014-03-20,0,0,1,2,1,0.0,0.0,653.0,681.5,456.0,1,1,0,1,0,0.67,19.57,17.75,0,4,6,1.33,3.86,3.38,0,4,2,1.33,4.57,4.0,0,0,1,1.0,13.71,12.5,1,5,6,0.0,0.86,0.75,0,0,0,0.0,0.0,2.0,0.0,6.0,0.045090243,0.032718513,0.18470098,0.083028115,0.0,0,4,1,10.0,0.0,0,1,65.0,66.0,65.0,65.0,6.0,390.0,-0.0152674721307884,0.353761619107892,,0.0,0.0152674721307883,0.0312525435041045,0.0,10.0,,56.39,40.0,88.0,,-0.0071092065149016,0.0033333364197582,0.0028615051955863,-0.008292546578009,-0.0064620580280909,0.5,13.3,-0.0312525435041044,-0.0800427076735362,,0.4001845045808069,,-0.0800427076735364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,1.5,6.0,0.0,1.0,0.0,1.0,1.0,-0.0312525435041044,-0.0030534944261576,-0.048790164,0.0
2014-03-21,0,1,7,6,1,0.0,1021.0,1132.3333333333333,541.125,310.0,1,1,1,1,0,2.67,3.0,16.44,2,0,3,2.67,2.43,3.78,1,3,0,0.33,0.86,3.67,0,4,0,1.0,2.29,11.22,1,1,1,0.0,0.0,0.67,0,0,0,0.0,0.0,0.0,0.0,7.0,0.22308545,0.13987614,0.18470098,0.083028115,0.0,0,15,1,34.0,0.0,0,1,63.0,65.0,63.0,63.0,48.0,3024.0,-0.0312525435041044,0.4044582934295814,,0.0,-0.0152674721307884,0.0,0.048790164169432,6.0,,54.97,40.4,80.0,,-0.0173090667266966,0.0278935229224831,0.0074018178131115,0.0054732608087271,-0.0032467560988699,0.5,13.3,0.0312525435041045,-0.0240975515790604,,0.3904317671159498,,-0.0160003413464409,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0312525435041045,-0.0160085415347072,-0.047252886,0.0
2014-03-24,0,3,2,3,1,0.0,1100.0,1304.0,499.0,549.0,1,1,1,1,0,3.67,2.57,15.1,6,0,4,3.33,2.43,3.6,7,0,4,1.33,1.14,3.6,1,0,0,1.0,1.57,10.2,1,1,5,0.0,0.0,0.6,0,0,0,0.0,0.0,0.0,0.0,8.0,0.22308545,0.033884,0.090450324,0.11544567,0.058714875,0,9,1,17.0,0.0,0,1,65.0,63.0,65.0,63.0,12.0,780.0,0.0312525435041045,0.4016912016385595,,3.076923076923077,-0.0312525435041044,0.0152674721307883,0.0312525435041045,48.0,,,40.5,81.9,,0.0386806670064986,-0.053168667880678,-0.0040737112847181,-0.0022611654631371,0.0,0.5,13.3,-0.0800427076735363,-0.0800427076735365,,0.3904317671159498,,-0.0667974809235158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0,0.0,1.0,0.0,1.0,1.0,-0.0800427076735363,-0.004819510315812,0.013245227,0.0
