Group,Method,H1_run_id,H1_DA,H1_BAcc,H1_MCC,H1_F1,H5_run_id,H5_DA,H5_BAcc,H5_MCC,H5_F1,H7_run_id,H7_DA,H7_BAcc,H7_MCC,H7_F1
Traditional ML,Naive,42,0.5096200210999072,0.5,0.0,0.6740782831810532,42,0.5211811204505036,0.5,0.0,0.681602303520909,42,0.527242427006535,0.5,0.0,0.6845330444453495
Traditional ML,SVM,42,0.5168987272021514,0.5250992808852749,0.0454718485861807,0.3575214542605847,42,0.5409708721347701,0.5205874582531165,0.041230544931875,0.538795308939048,42,0.5582030455139531,0.5214857937703736,0.0352784865009827,0.5208694049580965
Traditional ML,XGBoost,123,0.5729049336876701,0.5635770718383972,0.1355195947379693,0.6125227180929044,42,0.5294715477751354,0.5124462210628667,0.0214849395249381,0.4590562490393693,123,0.5857902963872925,0.5417333428097066,0.1146417141357087,0.4868691789004964
RNN/CNN,MLP,42,0.4848996612737951,0.4861871878294854,-0.0308107867309685,0.4770067345565666,777,0.5248913780064957,0.5029881274329387,0.0214072599837308,0.4618419789325874,777,0.5414390748716367,0.474267128275424,-0.0517837718613315,0.3974671331720013
RNN/CNN,LSTM,123,0.5075698570878837,0.4901473145842129,-0.0197306968534283,0.4990018434179136,123,0.5367506115098515,0.5335368228400545,0.0721195133156958,0.5387004648767884,123,0.5701354612859038,0.5100239216988836,0.0285756473672459,0.5252301609005982
RNN/CNN,TCN,777,0.515174082084898,0.5009728709912151,-0.019695149815887,0.2908342936965252,42,0.4641055818404855,0.4930242311511209,-0.0157235081569947,0.306872640878743,42,0.4885887740976237,0.5091251698329416,0.0298531256479947,0.298593978469232
Transformer,Transformer,777,0.498672695426016,0.4859991555051016,-0.0167962369428378,0.4309464163812133,777,0.5032570604180442,0.5221328997765131,0.0441314319345913,0.3125901389059283,42,0.4920901255525149,0.5107033902221996,0.0259424189301156,0.3594351137732886
Transformer,PatchTST,777,0.5158745106885524,0.510940475696277,0.0104972120177516,0.3684537966454351,777,0.5248119703514029,0.5196024543384656,0.0268633149324218,0.4310521461937958,123,0.4911273919017281,0.5048609069030106,0.0024422596770761,0.4021992759703782
DeepMLP,DeepMLP,42,0.4929176644620804,0.4857091580747387,-0.0325081026144903,0.5457144836480758,123,0.5314348763096537,0.5068917796003672,0.0169200450962488,0.4455677405883899,42,0.5630993893829754,0.502351273547833,0.0245595144627027,0.4190463714251166
Our Method,Residual-QEF-DRAEM,42,0.5609684708298909,0.5605385556150692,0.1251107641019177,0.5679784915257355,123,0.5250606277231991,0.5355422956697546,0.080743728859242,0.4585410351626599,123,0.6152041444454496,0.5684132144643901,0.1485849360423293,0.5517946690879698
