H,window,ours_variant,ours_run_id,ours_MCC,ours_DA,ours_BAcc,ours_F1,ours_n,reference_group,reference_method,reference_variant,reference_run_id,reference_MCC,reference_DA,reference_BAcc,reference_F1,reference_n,ours_win,gap_ours_minus_reference
5,signal_top_70,residual_logistic,777,0.0847236610761583,0.5422343324250681,0.5423051793775243,0.5531914893617021,367,RNN/CNN,LSTM,numeric_seq_lb20,123,0.0885609456612799,0.5460122699386503,0.544039497983643,0.5099337748344371,326,False,-0.0038372845851215
5,signal_top_80,residual_logistic,777,0.0932920776737274,0.5446009389671361,0.5462244177840508,0.5688888888888889,213,RNN/CNN,LSTM,numeric_seq_lb20,123,0.140331654499357,0.5706806282722513,0.5702197802197801,0.5543478260869565,191,False,-0.0470395768256296
5,signal_top_90,residual_logistic,123,0.1861190307305357,0.5871559633027523,0.5927118644067797,0.5794392523364486,109,Traditional ML,XGBoost,numeric_default,42,0.065597720740546,0.5412844036697247,0.5320338983050847,0.6031746031746031,109,True,0.1205213099899896
5,disagree_top_70,residual_logistic,123,0.1190109833738641,0.5537190082644629,0.5582010582010581,0.5120481927710844,363,RNN/CNN,LSTM,numeric_seq_lb20,123,0.1096405461347207,0.5541795665634675,0.5546012269938649,0.535483870967742,323,True,0.0093704372391434
5,disagree_top_80,residual_logistic,123,0.169471471008742,0.5841121495327103,0.5832459818308875,0.538860103626943,214,DeepMLP,DeepMLP,numeric_flat,777,0.0783655863657268,0.5373831775700935,0.5383473095737247,0.5787234042553191,214,True,0.0911058846430151
5,disagree_top_90,residual_logistic,123,0.1558120677007835,0.5728155339805825,0.5783524904214559,0.5849056603773585,103,RNN/CNN,LSTM,numeric_seq_lb20,777,0.160930171455096,0.5979381443298969,0.5678294573643411,0.6976744186046512,97,False,-0.0051181037543124
5,signal70_disagree70,residual_logistic,123,0.1123466942050795,0.5527950310559007,0.5548394566224143,0.503448275862069,322,RNN/CNN,LSTM,numeric_seq_lb20,123,0.1075180330991595,0.5543859649122806,0.5534482758620689,0.5243445692883895,285,True,0.0048286611059199
5,signal70_disagree80,residual_logistic,123,0.1610700454625648,0.5817307692307693,0.5787452577033404,0.5245901639344263,208,DeepMLP,DeepMLP,numeric_flat,777,0.0742716643561008,0.5336538461538461,0.5364578513926159,0.5688888888888889,208,True,0.086798381106464
5,signal70_disagree90,residual_logistic,123,0.1558120677007835,0.5728155339805825,0.5783524904214559,0.5849056603773585,103,RNN/CNN,LSTM,numeric_seq_lb20,777,0.160930171455096,0.5979381443298969,0.5678294573643411,0.6976744186046512,97,False,-0.0051181037543124
5,signal80_disagree70,residual_logistic,777,0.0850240255919275,0.5396039603960396,0.5419937205651492,0.5674418604651162,202,RNN/CNN,LSTM,numeric_seq_lb20,777,0.1448587381178678,0.5469613259668509,0.5607099143206855,0.6371681415929203,181,False,-0.0598347125259403
5,signal80_disagree80,residual_logistic,123,0.1408274422264846,0.5698324022346368,0.5693508114856429,0.5276073619631901,179,RNN/CNN,LSTM,numeric_seq_lb20,777,0.0990536064687909,0.5308641975308642,0.5412087912087912,0.6274509803921569,162,True,0.0417738357576937
5,signal80_disagree90,residual_logistic,123,0.1558120677007835,0.5728155339805825,0.5783524904214559,0.5849056603773585,103,RNN/CNN,LSTM,numeric_seq_lb20,777,0.160930171455096,0.5979381443298969,0.5678294573643411,0.6976744186046512,97,False,-0.0051181037543124
5,signal90_disagree70,residual_logistic,123,0.1782585106092974,0.5833333333333334,0.5886206896551724,0.5714285714285714,108,Traditional ML,XGBoost,numeric_default,42,0.0592534537966678,0.5370370370370371,0.5289655172413793,0.5967741935483871,108,True,0.1190050568126295
5,signal90_disagree80,residual_logistic,123,0.1782585106092974,0.5833333333333334,0.5886206896551724,0.5714285714285714,108,Traditional ML,XGBoost,numeric_default,42,0.0592534537966678,0.5370370370370371,0.5289655172413793,0.5967741935483871,108,True,0.1190050568126295
5,signal90_disagree90,residual_logistic,123,0.1718791627488817,0.5833333333333334,0.5868055555555556,0.6067415730337079,84,Transformer,PatchTST,numeric_seq_lb20,123,0.1221731964315001,0.5569620253164557,0.5613636363636363,0.5679012345679012,79,True,0.0497059663173815
7,signal_top_70,residual_logistic,777,0.241189654280136,0.6219178082191781,0.617218045112782,0.5605095541401274,365,Traditional ML,XGBoost,numeric_default,123,0.1774765956616794,0.589041095890411,0.588796992481203,0.576271186440678,365,True,0.0637130586184565
7,signal_top_80,residual_logistic,777,0.2685434048948846,0.6350710900473934,0.6297479747974797,0.5698324022346368,211,Traditional ML,XGBoost,numeric_default,123,0.2265599809716977,0.6113744075829384,0.6130963096309632,0.616822429906542,211,True,0.0419834239231869
7,signal_top_90,residual_ridge,42,0.2459506242080172,0.6111111111111112,0.6065180102915951,0.475,108,Traditional ML,XGBoost,numeric_default,123,0.2607353887160494,0.6296296296296297,0.630188679245283,0.6363636363636364,108,False,-0.0147847645080321
7,disagree_top_70,residual_ridge,777,0.2259510640624243,0.6066481994459834,0.6070902394106814,0.5328947368421053,361,Traditional ML,XGBoost,numeric_default,123,0.1745242480049109,0.5872576177285319,0.5872621240024555,0.5872576177285319,361,True,0.0514268160575133
7,disagree_top_80,residual_ridge,777,0.260661281542464,0.6320754716981132,0.6267951119436268,0.5714285714285714,212,Traditional ML,XGBoost,numeric_default,123,0.2240089277803383,0.6084905660377359,0.6114084381411115,0.6210045662100456,212,True,0.0366523537621256
7,disagree_top_90,residual_ridge,42,0.3492562321188015,0.6310679611650486,0.6599616858237547,0.5681818181818182,103,Traditional ML,XGBoost,numeric_default,42,0.2717897057014959,0.6407766990291263,0.6362068965517241,0.6782608695652174,103,True,0.0774665264173056
7,signal70_disagree70,residual_ridge,777,0.2474817599675579,0.61875,0.6177975702175866,0.5481481481481482,320,Traditional ML,XGBoost,numeric_default,123,0.206474814954784,0.603125,0.6032071565295519,0.6068111455108359,320,True,0.0410069450127738
7,signal70_disagree80,residual_ridge,777,0.2506808396595668,0.6262135922330098,0.6216841310299255,0.5649717514124294,206,Traditional ML,XGBoost,numeric_default,42,0.2168962125058021,0.6067961165048543,0.6082790522042858,0.6124401913875598,206,True,0.0337846271537646
7,signal70_disagree90,residual_ridge,42,0.3492562321188015,0.6310679611650486,0.6599616858237547,0.5681818181818182,103,Traditional ML,XGBoost,numeric_default,42,0.2717897057014959,0.6407766990291263,0.6362068965517241,0.6782608695652174,103,True,0.0774665264173056
7,signal80_disagree70,residual_logistic,777,0.2480694691784169,0.625,0.6201923076923077,0.5614035087719298,200,Traditional ML,XGBoost,numeric_default,123,0.2347397334718191,0.615,0.6169871794871795,0.624390243902439,200,True,0.0133297357065977
