H,window,ours_best_variant,ours_best_seed,ours_MCC,ours_DA,ours_BAcc,ours_F1,ours_n,strongest_worse_family,strongest_worse_method,strongest_worse_variant,strongest_worse_seed,worse_MCC,worse_DA,worse_BAcc,worse_F1,worse_n,ours_win,gap_ours_minus_worse
5,signal_top_70,residual_logistic,777,0.08472366107615836,0.5422343324250681,0.5423051793775243,0.5531914893617021,367,RNN/CNN,LSTM,numeric_seq_lb20,123,0.08856094566127991,0.5460122699386503,0.544039497983643,0.5099337748344371,326,False,-0.003837284585121545
5,signal_top_80,residual_logistic,777,0.0932920776737274,0.5446009389671361,0.5462244177840508,0.5688888888888889,213,RNN/CNN,LSTM,numeric_seq_lb20,123,0.14033165449935703,0.5706806282722513,0.5702197802197801,0.5543478260869565,191,False,-0.047039576825629634
5,signal_top_90,residual_logistic,123,0.1861190307305357,0.5871559633027523,0.5927118644067797,0.5794392523364486,109,Traditional ML,XGBoost,numeric_default,42,0.06559772074054607,0.5412844036697247,0.5320338983050847,0.6031746031746031,109,True,0.12052130998998964
5,disagree_top_70,residual_logistic,123,0.11901098337386412,0.5537190082644629,0.5582010582010581,0.5120481927710844,363,RNN/CNN,LSTM,numeric_seq_lb20,123,0.10964054613472071,0.5541795665634675,0.5546012269938649,0.535483870967742,323,True,0.009370437239143409
5,disagree_top_80,residual_logistic,123,0.169471471008742,0.5841121495327103,0.5832459818308875,0.538860103626943,214,DeepMLP,DeepMLP,numeric_flat,777,0.07836558636572681,0.5373831775700935,0.5383473095737247,0.5787234042553191,214,True,0.09110588464301518
5,disagree_top_90,residual_logistic,123,0.1558120677007835,0.5728155339805825,0.5783524904214559,0.5849056603773585,103,RNN/CNN,LSTM,numeric_seq_lb20,777,0.160930171455096,0.5979381443298969,0.5678294573643411,0.6976744186046512,97,False,-0.005118103754312486
5,signal70_disagree70,residual_logistic,123,0.1123466942050795,0.5527950310559007,0.5548394566224143,0.503448275862069,322,RNN/CNN,LSTM,numeric_seq_lb20,123,0.10751803309915958,0.5543859649122806,0.5534482758620689,0.5243445692883895,285,True,0.004828661105919924
5,signal70_disagree80,residual_logistic,123,0.16107004546256484,0.5817307692307693,0.5787452577033404,0.5245901639344263,208,DeepMLP,DeepMLP,numeric_flat,777,0.0742716643561008,0.5336538461538461,0.5364578513926159,0.5688888888888889,208,True,0.08679838110646404
5,signal70_disagree90,residual_logistic,123,0.1558120677007835,0.5728155339805825,0.5783524904214559,0.5849056603773585,103,RNN/CNN,LSTM,numeric_seq_lb20,777,0.160930171455096,0.5979381443298969,0.5678294573643411,0.6976744186046512,97,False,-0.005118103754312486
5,signal80_disagree70,residual_logistic,777,0.08502402559192751,0.5396039603960396,0.5419937205651492,0.5674418604651162,202,RNN/CNN,LSTM,numeric_seq_lb20,777,0.14485873811786787,0.5469613259668509,0.5607099143206855,0.6371681415929203,181,False,-0.05983471252594036
5,signal80_disagree80,residual_logistic,123,0.14082744222648466,0.5698324022346368,0.5693508114856429,0.5276073619631901,179,RNN/CNN,LSTM,numeric_seq_lb20,777,0.09905360646879091,0.5308641975308642,0.5412087912087912,0.6274509803921569,162,True,0.04177383575769375
5,signal80_disagree90,residual_logistic,123,0.1558120677007835,0.5728155339805825,0.5783524904214559,0.5849056603773585,103,RNN/CNN,LSTM,numeric_seq_lb20,777,0.160930171455096,0.5979381443298969,0.5678294573643411,0.6976744186046512,97,False,-0.005118103754312486
5,signal90_disagree70,residual_logistic,123,0.17825851060929745,0.5833333333333334,0.5886206896551724,0.5714285714285714,108,Traditional ML,XGBoost,numeric_default,42,0.05925345379666788,0.5370370370370371,0.5289655172413793,0.5967741935483871,108,True,0.11900505681262957
5,signal90_disagree80,residual_logistic,123,0.17825851060929745,0.5833333333333334,0.5886206896551724,0.5714285714285714,108,Traditional ML,XGBoost,numeric_default,42,0.05925345379666788,0.5370370370370371,0.5289655172413793,0.5967741935483871,108,True,0.11900505681262957
5,signal90_disagree90,residual_logistic,123,0.1718791627488817,0.5833333333333334,0.5868055555555556,0.6067415730337079,84,Transformer,PatchTST,numeric_seq_lb20,123,0.12217319643150017,0.5569620253164557,0.5613636363636363,0.5679012345679012,79,True,0.04970596631738154
7,signal_top_70,residual_logistic,777,0.241189654280136,0.6219178082191781,0.617218045112782,0.5605095541401274,365,Traditional ML,XGBoost,numeric_default,123,0.17747659566167945,0.589041095890411,0.588796992481203,0.576271186440678,365,True,0.06371305861845655
7,signal_top_80,residual_logistic,777,0.2685434048948846,0.6350710900473934,0.6297479747974797,0.5698324022346368,211,Traditional ML,XGBoost,numeric_default,123,0.2265599809716977,0.6113744075829384,0.6130963096309632,0.616822429906542,211,True,0.04198342392318691
7,signal_top_90,residual_ridge,42,0.24595062420801725,0.6111111111111112,0.6065180102915951,0.475,108,Traditional ML,XGBoost,numeric_default,123,0.2607353887160494,0.6296296296296297,0.630188679245283,0.6363636363636364,108,False,-0.01478476450803215
7,disagree_top_70,residual_ridge,777,0.22595106406242432,0.6066481994459834,0.6070902394106814,0.5328947368421053,361,Traditional ML,XGBoost,numeric_default,123,0.17452424800491098,0.5872576177285319,0.5872621240024555,0.5872576177285319,361,True,0.05142681605751334
